concept_id_1,concept_id_2,relationship_id,valid_start_date,valid_end_date,invalid_reason
2000000453,40796247,Maps to,2025-04-16,2099-12-31,
40796247,2000000453,Maps from,2025-04-16,2099-12-31,
2000000446,40785861,Maps to,2025-04-16,2099-12-31,
40785861,2000000446,Maps from,2025-04-16,2099-12-31,
2000000447,40785945,Maps to,2025-04-16,2099-12-31,
40785945,2000000447,Maps from,2025-04-16,2099-12-31,
2000000483,0,Maps to,2025-04-16,2099-12-31,
0,2000000483,Maps from,2025-04-16,2099-12-31,
2000000454,40785879,Maps to,2025-04-16,2099-12-31,
40785879,2000000454,Maps from,2025-04-16,2099-12-31,
2000000417,40789150,Maps to,2025-04-16,2099-12-31,
40789150,2000000417,Maps from,2025-04-16,2099-12-31,
2000000484,0,Maps to,2025-04-16,2099-12-31,
0,2000000484,Maps from,2025-04-16,2099-12-31,
2000000485,0,Maps to,2025-04-16,2099-12-31,
0,2000000485,Maps from,2025-04-16,2099-12-31,
2000000486,0,Maps to,2025-04-16,2099-12-31,
0,2000000486,Maps from,2025-04-16,2099-12-31,
2000000487,0,Maps to,2025-04-16,2099-12-31,
0,2000000487,Maps from,2025-04-16,2099-12-31,
2000000385,40779364,Maps to,2025-04-16,2099-12-31,
40779364,2000000385,Maps from,2025-04-16,2099-12-31,
2000000455,40775896,Maps to,2025-04-16,2099-12-31,
40775896,2000000455,Maps from,2025-04-16,2099-12-31,
2000000464,40775876,Maps to,2025-04-16,2099-12-31,
40775876,2000000464,Maps from,2025-04-16,2099-12-31,
2000000482,0,Maps to,2025-04-16,2099-12-31,
0,2000000482,Maps from,2025-04-16,2099-12-31,
2000000442,40789263,Maps to,2025-04-16,2099-12-31,
40789263,2000000442,Maps from,2025-04-16,2099-12-31,
2000000458,40775849,Maps to,2025-04-16,2099-12-31,
40775849,2000000458,Maps from,2025-04-16,2099-12-31,
2000000488,0,Maps to,2025-04-16,2099-12-31,
0,2000000488,Maps from,2025-04-16,2099-12-31,
2000000467,37066709,Maps to,2025-04-16,2099-12-31,
37066709,2000000467,Maps from,2025-04-16,2099-12-31,
2000000435,40782589,Maps to,2025-04-16,2099-12-31,
40782589,2000000435,Maps from,2025-04-16,2099-12-31,
2000000436,40795800,Maps to,2025-04-16,2099-12-31,
40795800,2000000436,Maps from,2025-04-16,2099-12-31,
2000000459,3968341,Maps to,2025-04-16,2099-12-31,
3968341,2000000459,Maps from,2025-04-16,2099-12-31,
2000000491,0,Maps to,2025-04-16,2099-12-31,
0,2000000491,Maps from,2025-04-16,2099-12-31,
2000000456,40782602,Maps to,2025-04-16,2099-12-31,
40782602,2000000456,Maps from,2025-04-16,2099-12-31,
2000000472,40779250,Maps to,2025-04-16,2099-12-31,
40779250,2000000472,Maps from,2025-04-16,2099-12-31,
2000000471,37052205,Maps to,2025-04-16,2099-12-31,
37052205,2000000471,Maps from,2025-04-16,2099-12-31,
2000000470,40782593,Maps to,2025-04-16,2099-12-31,
40782593,2000000470,Maps from,2025-04-16,2099-12-31,
2000000474,1992114,Maps to,2025-04-16,2099-12-31,
1992114,2000000474,Maps from,2025-04-16,2099-12-31,
2000000386,40779364,Maps to,2025-04-16,2099-12-31,
40779364,2000000386,Maps from,2025-04-16,2099-12-31,
2000000489,36661507,Maps to,2025-04-16,2099-12-31,
36661507,2000000489,Maps from,2025-04-16,2099-12-31,
2000000397,1027727,Maps to,2025-04-16,2099-12-31,
1027727,2000000397,Maps from,2025-04-16,2099-12-31,
2000000492,0,Maps to,2025-04-16,2099-12-31,
0,2000000492,Maps from,2025-04-16,2099-12-31,
2000000493,0,Maps to,2025-04-16,2099-12-31,
0,2000000493,Maps from,2025-04-16,2099-12-31,
2000000494,0,Maps to,2025-04-16,2099-12-31,
0,2000000494,Maps from,2025-04-16,2099-12-31,
2000000477,40789544,Maps to,2025-04-16,2099-12-31,
40789544,2000000477,Maps from,2025-04-16,2099-12-31,
2000000495,0,Maps to,2025-04-16,2099-12-31,
0,2000000495,Maps from,2025-04-16,2099-12-31,
2000000479,40785866,Maps to,2025-04-16,2099-12-31,
40785866,2000000479,Maps from,2025-04-16,2099-12-31,
2000000496,0,Maps to,2025-04-16,2099-12-31,
0,2000000496,Maps from,2025-04-16,2099-12-31,
2000000497,0,Maps to,2025-04-16,2099-12-31,
0,2000000497,Maps from,2025-04-16,2099-12-31,
2000000490,37038872,Maps to,2025-04-16,2099-12-31,
37038872,2000000490,Maps from,2025-04-16,2099-12-31,
2000000588,0,Maps to,2025-04-16,2099-12-31,
0,2000000588,Maps from,2025-04-16,2099-12-31,
2000000501,40782772,Maps to,2025-04-16,2099-12-31,
40782772,2000000501,Maps from,2025-04-16,2099-12-31,
2000000589,0,Maps to,2025-04-16,2099-12-31,
0,2000000589,Maps from,2025-04-16,2099-12-31,
2000000481,40779420,Maps to,2025-04-16,2099-12-31,
40779420,2000000481,Maps from,2025-04-16,2099-12-31,
2000000590,0,Maps to,2025-04-16,2099-12-31,
0,2000000590,Maps from,2025-04-16,2099-12-31,
2000000502,37031553,Maps to,2025-04-16,2099-12-31,
37031553,2000000502,Maps from,2025-04-16,2099-12-31,
2000000591,0,Maps to,2025-04-16,2099-12-31,
0,2000000591,Maps from,2025-04-16,2099-12-31,
2000000504,40785946,Maps to,2025-04-16,2099-12-31,
40785946,2000000504,Maps from,2025-04-16,2099-12-31,
2000000592,0,Maps to,2025-04-16,2099-12-31,
0,2000000592,Maps from,2025-04-16,2099-12-31,
2000000593,0,Maps to,2025-04-16,2099-12-31,
0,2000000593,Maps from,2025-04-16,2099-12-31,
2000000594,0,Maps to,2025-04-16,2099-12-31,
0,2000000594,Maps from,2025-04-16,2099-12-31,
2000000595,0,Maps to,2025-04-16,2099-12-31,
0,2000000595,Maps from,2025-04-16,2099-12-31,
