concept_id,concept_name,concept_code,vocabulary_id
37058315,Duck feather IgG,LP37953-4,LOINC
40789677,E Ag,LP37963-3,LOINC
37024020,Echovirus 1 Ab,LP37982-3,LOINC
37057706,Echovirus 30 RNA,LP37992-2,LOINC
37073961,Whole Egg IgG,LP38005-2,LOINC
37047926,Endomysium IgA,LP38026-8,LOINC
40786401,Entamoeba histolytica Ab,LP38034-2,LOINC
40789679,Enterovirus identified,LP38049-0,LOINC
37051042,Epicoccum purpurascens IgG,LP38054-0,LOINC
40786404,Epstein Barr virus capsid Ab,LP38068-0,LOINC
37027691,Escherichia coli enterotoxic identified,LP38102-7,LOINC
37075974,Escherichia coli verotoxin 1 Ab,LP38113-4,LOINC
37072361,Exocrine pancreas Ab,LP38120-9,LOINC
37024257,Feline calicivirus Ab,LP38134-0,LOINC
37056658,Filovirus Ab,LP38169-6,LOINC
40789685,Francisella tularensis Ab,LP38187-8,LOINC
40792934,Francisella tularensis Ag,LP38191-0,LOINC
37057464,GALOP IgM,LP38218-1,LOINC
40786411,Ganglioside GM1 Ab,LP38226-4,LOINC
40786414,Giardia lamblia Ag,LP38239-7,LOINC
40792937,H Ab,LP38265-2,LOINC
37053047,Hantavirus hantaan IgM,LP38294-2,LOINC
37036914,Heparin cofactor II Ag,LP38315-5,LOINC
40779772,Hepatitis B virus DNA,LP38320-5,LOINC
40779774,Hepatitis D virus Ab,LP38345-2,LOINC
37066901,Hepatitis E virus IgM,LP38352-8,LOINC
40783110,Herpes simplex virus 1 Ab,LP38362-7,LOINC
37074978,Herpes virus 7 IgG,LP38390-8,LOINC
37056117,Histoplasma sp Ag,LP38418-7,LOINC
37024804,HIV 2 gp105 Ab,LP38466-6,LOINC
37054429,HIV 2 p58 Ab,LP38479-9,LOINC
37064930,HMB-45 Ag,LP38496-3,LOINC
37042940,HTLV 1+2 p26 Ab,LP38532-5,LOINC
37075894,HTLV 1+2 p53 Ab,LP38537-4,LOINC
37046651,Influenza virus A Hong Kong Ab,LP38669-5,LOINC
37050945,Influenza virus A N2 Ab,LP38673-7,LOINC
40796266,Insulin Ab,LP38697-6,LOINC
37069683,Isocyanate IgG,LP38718-0,LOINC
37039718,Isocyanate IgM,LP38720-6,LOINC
37074801,Walnut (Juglans spp) Ab,LP38748-7,LOINC
40796269,Kp^b Ab,LP38756-0,LOINC
37039949,Lettuce (Lactuca sativa) Ab,LP38798-2,LOINC
37045910,Legionella pneumophila 4 IgG,LP38841-0,LOINC
37056744,Leishmania mexicana IgM,LP38873-3,LOINC
37040493,Lysozyme Ag,LP38977-2,LOINC
40792964,Ma+Ta Ab,LP38989-7,LOINC
37058721,Maple syrup IgG,LP38999-6,LOINC
40789720,Mi-2 Ab,LP39015-0,LOINC
37070797,Ganglioside GM1 IgA,LP39036-6,LOINC
37071229,Mycoplasma arginini Ab,LP39083-8,LOINC
37026717,Myelin basic protein Ag,LP39134-9,LOINC
40773135,Neisseria meningitidis sg C Ab,LP39171-1,LOINC
40773136,Neutrophil cytoplasmic Ab,LP39202-4,LOINC
40786465,Ovary Ab,LP39249-5,LOINC
40773138,P Ab,LP39257-8,LOINC
37038734,Bahia grass (Paspalum notatum) Ab,LP39317-0,LOINC
37050304,Phoma betae IgG,LP39354-3,LOINC
37044517,Phthalic anhydride IgM,LP39389-9,LOINC
37032561,Pea (Pisum sativum) Ab,LP39399-8,LOINC
40789732,Plasmodium vivax Ab,LP39423-6,LOINC
37067953,Platelet IgA,LP39428-5,LOINC
37028933,PM-1 Ab,LP39437-6,LOINC
40789734,Pneumocystis jiroveci DNA,LP39441-8,LOINC
40773144,Polio virus Ab,LP39445-9,LOINC
37029248,Porcine parvovirus Ag,LP39465-7,LOINC
40776467,Reovirus Ab,LP39545-6,LOINC
40796304,Reticulin Ab,LP39554-8,LOINC
37075345,Reticulin IgG,LP39556-3,LOINC
21497672,Rhinovirus RNA,LP39561-3,LOINC
40776470,Ribosomal Ab,LP39571-2,LOINC
37078404,Rickettsia (Proteus OXK) Ab,LP39581-1,LOINC
37078621,Rinderpest virus Ab,LP39615-7,LOINC
40779843,Ross river virus Ab,LP39620-7,LOINC
44787143,S Ab,LP39643-9,LOINC
40796311,Salivary gland Ab,LP39660-3,LOINC
37039210,Salmonella abortus equi Ab,LP39664-5,LOINC
37024419,Salmonella enteritidis H Ab,LP39669-4,LOINC
37045320,Salmonella typhi day Ab,LP39693-4,LOINC
40783169,Streptococcus pyogenes Ag,LP39917-7,LOINC
40776482,Strongyloides sp Ab,LP39926-8,LOINC
40783171,Sulfatide IgM,LP39935-9,LOINC
37071946,Tissue polypeptide Ag,LP40009-0,LOINC
37063261,Tissue Transglutaminase IgM,LP40014-0,LOINC
37065037,Trypanosoma brucei Ab,LP40068-6,LOINC
37054188,Ulex europaeus I lectin Ag,LP40093-4,LOINC
37040460,Ureaplasma sp identified,LP40098-3,LOINC
40779861,V Ag,LP40102-3,LOINC
37076654,Variola virus DNA,LP40117-1,LOINC
37071793,Cocal virus Ab,LP40129-6,LOINC
37023901,Yersinia enterocolitica IgA,LP40197-3,LOINC
37023667,Yersinia pseudotuberculosis 3 Ab,LP40211-2,LOINC
37023690,Basophilic stippling fine,LP40266-6,LOINC
40783186,"Chemistry, challenge",LP40271-6,LOINC
37040300,Herpes gestationis IgG,LP40287-2,LOINC
43056004,DULoxetine,LP40294-8,LOINC
37050847,Plasmodium sp Ag,LP40321-9,LOINC
37071868,Borrelia burgdorferi IgG+IgM,LP40402-7,LOINC
37034949,Ganglioside GM1 IgG+IgM,LP40425-8,LOINC
37024308,Toxoplasma gondii IgM Index,LP40438-1,LOINC
40776504,CYP2C9 gene,LP40500-8,LOINC
37074590,Brucella abortus rRNA,LP40509-9,LOINC
1027845,Body height^sitting,LP407512-5,LOINC
1027938,Difficulties in pregnancy total score,LP410939-5,LOINC
1028116,Ventilator weaning status,LP411303-3,LOINC
1028243,Citrobacter sp DNA,LP411584-8,LOINC
36661625,Gleason scoring basis,LP417868-9,LOINC
36662158,Glucagon^2H post meal,LP418929-8,LOINC
36661974,Intubation,LP419122-9,LOINC
36661404,Assay related variables panel,LP419172-4,LOINC
36033945,Sedation,LP419516-2,LOINC
36034330,Cannabis substance involvement score,LP419701-0,LOINC
1620131,Diatrizoate,LP419896-8,LOINC
1619932,5-Aminosalicylate,LP421161-3,LOINC
36034506,Copper.free/Copper.total,LP421292-6,LOINC
1619516,Propylparaben IgE,LP422274-3,LOINC
1619316,Cenobamate,LP422466-5,LOINC
1620286,Stay at home to avoid social contact,LP428305-9,LOINC
1620162,View^W valgus stress,LP428828-0,LOINC
1991399,Worth 4 dot test far,LP429110-2,LOINC
1991457,Prism for far phoria,LP429176-3,LOINC
1991827,Housing,LP429971-7,LOINC
1992126,Sex parameter for clinical use,LP430515-9,LOINC
1762414,Neighbor relationships score,LP430958-1,LOINC
1762357,Stemphylium botryosum Ab.IgG4,LP432895-3,LOINC
3968125,JC virus Ab Index,LP433451-4,LOINC
3967941,Laceyella sacchari,LP433588-3,LOINC
3968159,Arm,LP435894-3,LOINC
3967892,Views 3 and View,LP436540-1,LOINC
40791227,Albumin,LP6118-6,LOINC
37074947,BRST 2 Ag,LP61605-9,LOINC
40788023,Thymidine,LP62257-8,LOINC
37063347,Zygomycete sp,LP62476-4,LOINC
37042918,Leukogram panel,LP63176-9,LOINC
40784812,KCNQ2 gene,LP64762-5,LOINC
37065173,Pigeon feather IgG,LP66611-2,LOINC
37043610,HIV 2 Ab Signal/Cutoff,LP66696-3,LOINC
1030962,Primary tumor.other,LP73182-5,LOINC
1032110,Chronic pain,LP74620-3,LOINC
1032180,Date,LP74693-0,LOINC
1032297,Emphysema or COPD,LP74801-9,LOINC
1032424,Hip pain,LP74924-9,LOINC
1033226,Structural barrier.other specified,LP75687-1,LOINC
1033346,Type of nursing unit or service,LP75800-0,LOINC
1033855,None of the above were recalled in last 7 days,LP89853-3,LOINC
37047810,HLA-B27 cells,LP94727-2,LOINC
37055224,Lamb IgG4,LP96125-7,LOINC
37047846,PML Ab,LP96200-8,LOINC
37047543,Tropomyosin,LP97403-7,LOINC
42871134,21-Deoxycorticosterone,LP97517-4,LOINC
37078741,Methylandrostenediol,LP97947-3,LOINC
37041497,Vw Ab,LP98147-9,LOINC
1034729,Physical therapy,LP98456-4,LOINC
1034784,Return to community referral - addressed in care plan,LP98511-6,LOINC
1034933,Cosmetic,LP99355-7,LOINC
37024881,"3-Keto, 2-Methylvalerate",LP100175-1,LOINC
42870498,2-Methylacetoacetate,LP100176-9,LOINC
1004201,Collaborative staging site-specific factor 18,LP100415-1,LOINC
1004202,Collaborative staging site-specific factor 19,LP100416-9,LOINC
1004203,Collaborative staging site-specific factor 20,LP100417-7,LOINC
1004204,Collaborative staging site-specific factor 21,LP100418-5,LOINC
1004249,Flag for Date of surgical discharge not populated,LP100463-1,LOINC
1004250,Flag for Date 1st systemic treatment not populated,LP100464-9,LOINC
1004251,Flag for Date 1st immunotherapy treatment not populated,LP100465-6,LOINC
1004288,Gait,LP100865-7,LOINC
21497666,Viable CD34 cells,LP101258-4,LOINC
37072407,Green Olive IgG,LP101263-4,LOINC
40792060,Common wasp (Vespula vulgaris),LP101265-9,LOINC
40795356,Hypertrophic cardiomyopathy gene,LP101433-3,LOINC
1004308,CDC Immunization panel,LP101441-6,LOINC
37062762,Influenza virus A H1 2009 pandemic and Influenza virus A swine origin,LP101442-4,LOINC
40775484,"t(15;17)(q24.1;q21.1)(PML,RARA) bcr2",LP101591-8,LOINC
1004327,Medication dispensed.brief,LP101598-3,LOINC
37054164,Subnasale to stomion,LP101663-5,LOINC
37027688,Anterior nasal spine to pogonion,LP101664-3,LOINC
37061036,Adenoid width,LP101665-0,LOINC
37026383,Tonsilar width,LP101666-8,LOINC
1004355,Head rotation side to side,LP101836-7,LOINC
1004356,Head control - supported sitting,LP101837-5,LOINC
37074025,Apnea duration,LP101914-2,LOINC
37078268,Shunt fraction,LP101915-9,LOINC
37039412,PM-SCL-100,LP102300-3,LOINC
37028708,PM-SCL-100 IgG,LP102314-4,LOINC
37069141,Polychlorinated biphenyl.Aroclor 1248,LP102413-4,LOINC
37047035,Serratia marcescens DNA,LP102521-4,LOINC
37036766,Stenotrophomonas maltophilia DNA,LP102522-2,LOINC
37066032,Staphylococcus epidermidis DNA,LP102523-0,LOINC
36206993,Acinetobacter baumannii,LP102524-8,LOINC
1004455,Enterobacter aerogenes,LP102525-5,LOINC
44817297,Enterococcus faecalis,LP102526-3,LOINC
37074510,Human papilloma virus 11 DNA,LP102590-9,LOINC
37071259,Human papilloma virus 42 DNA,LP102591-7,LOINC
1004491,"How often did you eat a green leafy or lettuce SALAD, with or without other vegetables, in past 30 days",LP102660-0,LOINC
1004533,How often did you take flaxseed,LP102704-6,LOINC
1004534,How many years did you take flaxseed,LP102705-3,LOINC
1004535,"How often did you take Folic acid, Folate",LP102706-1,LOINC
1004536,"How often did you take garlic, as a pill, tablet, or capsule",LP102707-9,LOINC
1004570,"How often did you eat a green leafy or lettuce salad, with or without other vegetables in past 30 days",LP102741-8,LOINC
1004571,How often did you eat other white potatoes in past 30 days,LP102742-6,LOINC
1004610,How much do physical health problems now limit your usual physical activities (such as walking or climbing stairs),LP102784-8,LOINC
1004611,Are you able to move a chair from one room to another,LP102785-5,LOINC
1004612,Are you able to bend down and pick up clothing from the floor,LP102786-3,LOINC
1004653,Are you able to wash and dry your body,LP102828-3,LOINC
1004654,Are you able to get in and out of a car,LP102829-1,LOINC
1004696,"How much difficulty do you have doing your daily physical activities, because of your health",LP102871-3,LOINC
1004745,When I was in pain I isolated myself from others in past 7 days,LP102929-9,LOINC
1004746,When I was in pain I drew my knees up in past 7 days,LP102930-7,LOINC
1004747,"When I was in pain I moaned, whined or whimpered in past 7 days",LP102931-5,LOINC
1004748,When I was in pain I flung my arms or limbs around in past 7 days,LP102932-3,LOINC
1004749,When I was in pain I screamed in past 7 days,LP102933-1,LOINC
1004778,How often was your pain so severe you could think of nothing else in past 7 days,LP102963-8,LOINC
1004779,How much did pain interfere with your ability to participate in social activities in past 7 days,LP102964-6,LOINC
1004780,How often did pain make you feel discouraged in past 7 days,LP102965-3,LOINC
1004814,How often did your fatigue interfere with your ability to engage in recreational activities in past 7 days,LP102999-2,LOINC
1004815,How often did you have trouble finishing things because of your fatigue in past 7 days,LP103000-8,LOINC
1004852,How often did you feel your fatigue was beyond your control in past 7 days,LP103037-0,LOINC
1004853,To what degree did you feel tired even when you hadn't done anything in past 7 days,LP103038-8,LOINC
1004854,How bushed were you on average in past 7 days,LP103039-6,LOINC
1004855,How often were you sluggish in past 7 days,LP103040-4,LOINC
1004894,I had to limit my social activity because I was tired in past 7 days,LP103079-2,LOINC
1004895,I had energy in past 7 days,LP103080-0,LOINC
1004896,I am able to do my usual activities in past 7 days,LP103081-8,LOINC
1004900,I felt envious of others in past 7 days,LP103086-7,LOINC
1004940,I avoided public places or activities in past 7 days,LP103126-1,LOINC
1004941,I felt fidgety in past 7 days,LP103127-9,LOINC
1004943,I felt worried in past 7 days,LP103129-5,LOINC
1004990,It was easy for me to fall asleep in past 7 days,LP103180-8,LOINC
